"Peak.ID","Chr","Start","End","Strand","Peak.Caller.Combination","Peak.Caller.Overlaps","ChIP.Tag.Count","Control.Tag.Count","Fold.Change","Peak.Center","Number.of.Motifs","negLog10_IDR","IDR","Annotation","Detailed.Annotation","Distance.to.TSS","Nearest.PromoterID","Entrez.ID","Nearest.Unigene","Nearest.Refseq","Nearest.Ensembl","Gene.Name","Gene.Alias","Gene.Description","Gene.Type","negLog10_IDR_MACS2_vs_union","negLog10_IDR_GEM_vs_union","negLog10_IDR_HOMER_vs_union","negLog10_IDR_Genrich_vs_union","negLog10_IDR_SEACR_vs_union","negLog10_IDR_SICER2_vs_union","annot_class","details","SYMBOL"
"chr14:55670900-55673149","chr14",55670900,55673149,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,49,0,49,55671918,0,24.45179,0,"promoter-TSS ","promoter-TSS (NM_008683)",-144,"NM_008683",18002,NA,"NM_008683","ENSMUSG00000010376","Nedd8","NEDD-8|Rub1","neural precursor cell expressed, developmentally down-regulated gene 8","protein-coding",5,2.485506,5,5,5,1.966284,"Promoter",NA,"Nedd8"
"chr14:55680950-55682632","chr14",55680950,55682632,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,16,3,5.33,55681816,0,6.012911,9.7e-07,"promoter-TSS ","promoter-TSS (NM_145705)",26,"NM_145705",28113,NA,"NM_145705","ENSMUSG00000007589","Tinf2","D14Wsu146e|Tin2","Terf1 (TRF1)-interacting nuclear factor 2","protein-coding",1.608355,0.9263,0.521758,1.034352,0.641204,1.280942,"Promoter",NA,"Tinf2"
"chr14:55721352-55723149","chr14",55721352,55723149,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,13,2,6.5,55722169,0,9.610949,0,"promoter-TSS ","promoter-TSS (NM_001360387)",13,"NM_001360387",56187,NA,"NM_019519","ENSMUSG00000040472","Rabggta","gm","Rab geranylgeranyl transferase, a subunit","protein-coding",2.188195,1.373127,1.312631,2.131001,1.257129,1.348866,"Promoter",NA,"Rabggta"
"chr14:55743150-55746349","chr14",55743150,55746349,".","MACS2|HOMER|Genrich|SEACR|SICER2",5,14,2,7,55745346,0,10.427457,0,"promoter-TSS ","promoter-TSS (NM_026403)",935,"NM_026819",52585,NA,"NM_026819","ENSMUSG00000002332","Dhrs1","1110029G07Rik|D14Ertd484e","dehydrogenase/reductase 1","protein-coding",2.858396,0.176616,1.838046,2.566523,1.618498,1.369378,"Promoter",NA,"Dhrs1"
"chr14:55852000-55856699","chr14",55852000,55856699,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,20,0,20,55854597,0,22.769374,0,"exon ","exon (NM_001040072, exon 1 of 8)",234,"NM_001040072",277154,NA,"NM_001040072","ENSMUSG00000075592","Nynrin","mKIAA1305","NYN domain and retroviral integrase containing","protein-coding",5,1.976392,4.853084,5,4.261355,1.678543,"Promoter",NA,"Nynrin"
"chr14:55884250-55886380","chr14",55884250,55886380,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,20,0,20,55885400,0,21.447447,0,"intron ","intron (NM_027143, intron 1 of 7)",373,"NR_138134",219094,NA,"NM_027143","ENSMUSG00000047153","Khnyn","6330555F21|9130227C08Rik|Kiaa0323|mKIAA0323","KH and NYN domain containing","protein-coding",4.833471,1.705088,4.726406,4.740609,4.018474,1.423399,"Promoter",NA,"Cbln3"
"chr14:56667111-56669760","chr14",56667111,56669760,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,30,0,30,56668423,0,24.031692,0,"exon ","exon (NM_001360072, exon 1 of 14)",187,"NM_023773",75339,NA,"NM_023773","ENSMUSG00000079184","Mphosph8","1500035L22Rik|4930548G07Rik","M-phase phosphoprotein 8","protein-coding",5,2.175386,5,5,4.984322,1.871984,"Promoter",NA,"Mphosph8"
"chr14:56774900-56779220","chr14",56774900,56779220,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,56,0,56,56777885,0,23.764588,0,"intron ","B1_Mur4|SINE|Alu",1258,"NM_001360420",66645,NA,"NM_025682","ENSMUSG00000021938","Pspc1","5730470C09Rik|PSP1","paraspeckle protein 1","protein-coding",5,2.137181,5,5,5,1.627407,"Promoter",NA,"Pspc1"
"chr14:56809300-56813520","chr14",56809300,56813520,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,34,1,34,56811989,0,24.041445,0,"promoter-TSS ","promoter-TSS (NR_152252)",54,"NM_001253753",219105,NA,"NM_144842","ENSMUSG00000040123","Zmym5","9830124H08Rik","zinc finger, MYM-type 5","protein-coding",5,2.366332,5,5,5,1.675113,"Promoter",NA,"Zmym5"
"chr14:56885240-56889299","chr14",56885240,56889299,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,36,0,36,56887167,0,23.984231,0,"intron ","CpG-4519",426,"NM_001360643",76007,NA,"NM_029498","ENSMUSG00000021945","Zmym2","5830413P05Rik|FIM|MYM|RAMP|SCLL|Zfp198|Znf198","zinc finger, MYM-type 2","protein-coding",5,2.137526,5,5,5,1.846705,"Promoter",NA,"Zmym2"
"chr14:57102784-57106119","chr14",57102784,57106119,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,34,1,34,57104342,0,23.20066,0,"intron ","CpG",251,"NM_008125",14619,NA,"NM_008125","ENSMUSG00000046352","Gjb2","Cnx26|Cx26|Cxne|Gjb-2","gap junction protein, beta 2","protein-coding",5,1.901806,4.831214,5,4.330046,2.137594,"Promoter",NA,"Gjb2"
"chr14:57112750-57117349","chr14",57112750,57117349,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,35,0,35,57115217,0,23.482854,0,"Intergenic","Intergenic",-10347,"NM_008125",14619,NA,"NM_008125","ENSMUSG00000046352","Gjb2","Cnx26|Cx26|Cxne|Gjb-2","gap junction protein, beta 2","protein-coding",5,2.000221,5,5,5,1.482633,"5' UTR",NA,"Gjb2"
"chr14:57128940-57134399","chr14",57128940,57134399,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,94,0,94,57132431,0,24.020676,0,"intron ","intron (NM_001010937, intron 1 of 2)",1942,"NM_001010937",14623,NA,"NM_008128","ENSMUSG00000040055","Gjb6","Cx30|Cxnf|D14Bwg0506e","gap junction protein, beta 6","protein-coding",5,2.033973,5,5,5,1.986703,"Promoter",NA,"Gjb6"
"chr14:57423251-57424649","chr14",57423251,57424649,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,22,1,22,57423959,0,17.99492,0,"promoter-TSS ","promoter-TSS (NM_009376)",-121,"NM_009376",21821,NA,"NM_009376","ENSMUSG00000040040","Ift88","Tg737|Tg737Rpw|TgN737Rpw|Ttc10|flexo|fxo|orpk|polaris","intraflagellar transport 88","protein-coding",3.754074,1.72701,3.877669,4.253449,3.019731,1.362987,"Promoter",NA,"Ift88"
"chr14:57524170-57526149","chr14",57524170,57526149,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,17,0,17,57525114,0,20.785677,0,"intron ","CpG",330,"NM_145837",239114,NA,"NM_145837","ENSMUSG00000050222","Il17d","IL-17D","interleukin 17D","protein-coding",4.880112,1.792891,4.340249,4.651393,3.614502,1.50653,"Promoter",NA,"Il17d"
"chr14:57663900-57666699","chr14",57663900,57666699,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,38,0,38,57665158,0,24.089948,0,"promoter-TSS ","promoter-TSS (NM_020506)",-61,"NR_160871",57258,NA,"NM_020506","ENSMUSG00000021952","Xpo4","B430309A01Rik|mKIAA1721","exportin 4","protein-coding",5,2.122322,5,5,5,1.967626,"Promoter",NA,"Xpo4"
"chr14:57743629-57747431","chr14",57743629,57747431,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,35,1,35,57745743,0,24.286131,0,"intron ","CpG",593,"NM_015771",50523,NA,"NM_015771","ENSMUSG00000021959","Lats2","4932411G09Rik","large tumor suppressor 2","protein-coding",5,2.14411,5,5,5,2.142021,"Promoter",NA,"Lats2"
"chr14:57797200-57800041","chr14",57797200,57800041,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,17,0,17,57798503,0,22.413338,0,"TTS ","TTS (NR_037238)",196,"NR_037238",100526476,NA,"NR_037238","ENSMUSG00000092784","Mir3077","mir-3077|mmu-mir-3077","microRNA 3077","ncRNA",5,1.91292,4.530401,5,3.905248,2.064769,"Promoter",NA,"Sap18"
"chr14:57825650-57827799","chr14",57825650,57827799,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,13,0,13,57826520,0,18.416148,0,"promoter-TSS ","promoter-TSS (NM_198605)",485,"NM_026401",67840,NA,"NM_026401","ENSMUSG00000021967","Mrpl57","2610025P17Rik|Mrp63","mitochondrial ribosomal protein L57","protein-coding",4.51297,1.931139,3.751665,3.909304,2.862191,1.448879,"Promoter",NA,"Ska3"
"chr14:57888194-57890780","chr14",57888194,57890780,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,41,2,20.5,57889878,0,22.089208,0,"intron ","intron (NM_001360098, intron 1 of 11)",849,"NM_001360097",75965,NA,"NM_029492","ENSMUSG00000021969","Zdhhc20","4930542A17Rik|5033406L14Rik|B230110O18Rik|HK11","zinc finger, DHHC domain containing 20","protein-coding",4.953112,1.726428,4.766102,5,4.099888,1.543678,"Promoter",NA,"Zdhhc20"
"chr14:57998483-57999576","chr14",57998483,57999576,".","MACS2|GEM|HOMER|Genrich|SICER2",5,13,0,13,57999039,0,14.183221,0,"promoter-TSS ","promoter-TSS (NR_166770)",233,"NM_028643",68514,NA,"NM_028643","ENSMUSG00000021973","Micu2","1110008L20Rik|4833427E09Rik|Efha1|Smhs2","mitochondrial calcium uptake 2","protein-coding",4.049156,1.679851,3.09197,3.307385,0.246121,1.808738,"Promoter",NA,"Micu2"
"chr14:59200510-59205081","chr14",59200510,59205081,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,27,0,27,59201907,0,23.912907,0,"intron ","intron (NM_027764, intron 1 of 11)",1567,"NM_001360610",71330,NA,"NM_027764","ENSMUSG00000035469","Rcbtb1","5430409I18Rik|CLLD7|CLLL7","regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1","protein-coding",5,2.372599,5,5,4.617182,1.923126,"Promoter",NA,"Rcbtb1"
"chr14:59439938-59441999","chr14",59439938,59441999,".","MACS2|GEM|HOMER|Genrich|SICER2",5,23,2,11.5,59441028,0,13.179408,0,"promoter-TSS ","promoter-TSS (NM_026908)",5,"NM_001360591",69008,NA,"NM_026908","ENSMUSG00000021981","Cab39l","1500031K13Rik|2810425O13Rik|4930520C08Rik|MO2L","calcium binding protein 39-like","protein-coding",3.572693,1.532136,3.290852,3.372086,0.067826,1.343815,"Promoter",NA,"Setdb2"
"chr14:59596500-59598900","chr14",59596500,59598900,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,10,0,10,59597802,0,17.514481,0,"intron ","CpG",259,"NM_027986",71891,NA,"NM_027986","ENSMUSG00000021982","Cdadc1","2310010M10Rik|NYD-SP15","cytidine and dCMP deaminase domain containing 1","protein-coding",4.421725,2.027757,3.268426,3.694085,2.498064,1.604424,"Promoter",NA,"Cdadc1"
"chr14:60250190-60253068","chr14",60250190,60253068,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,33,2,16.5,60251447,0,21.730652,0,"promoter-TSS ","promoter-TSS (NM_170591)",-150,"NM_170591",71844,NA,"NM_170591","ENSMUSG00000114797","Nup58","1700017F11Rik|Nupl1|mKIAA0410","nucleoporin 58","protein-coding",4.254433,2.28319,4.627249,5,4.012753,1.553027,"Promoter",NA,"Nup58"
"chr14:60264900-60266949","chr14",60264900,60266949,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,37,0,37,60265536,0,23.671938,0,"intron ","intron (NM_144843, intron 1 of 13)",719,"NM_144843",219135,NA,"NM_144843","ENSMUSG00000021987","Mtmr6","4022440C11Rik|Gm38641","myotubularin related protein 6","protein-coding",5,2.449823,5,5,4.577763,1.644352,"Promoter",NA,"Mtmr6"
"chr14:60376817-60385849","chr14",60376817,60385849,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,96,0,96,60379848,0,23.830292,0,"3' UTR ","3' UTR (NM_001164705, exon 2 of 2)",3641,"NM_001164705",72125,NA,"NM_028113","ENSMUSG00000021986","Amer2","2600011E07Rik|Fam123a","APC membrane recruitment 2","protein-coding",5,1.845945,5,5,5,1.984347,"Promoter",NA,"Amer2"
"chr14:61035000-61039199","chr14",61035000,61039199,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,14,0,14,61037250,0,21.269561,0,"intron ","intron (NM_013869, intron 1 of 9)",888,"NM_001164155",29820,NA,"NM_013869","ENSMUSG00000060548","Tnfrsf19","TAJ|TAJ-ALPHA|TRADE|Troy","tumor necrosis factor receptor superfamily, member 19","protein-coding",5,1.818154,3.966924,5,3.455475,2.029008,"Promoter",NA,"Tnfrsf19"
"chr14:61041950-61047549","chr14",61041950,61047549,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,59,0,59,61045138,0,24.364601,0,"intron ","intron (NM_013869, intron 1 of 9)",2106,"NM_013869",29820,NA,"NM_013869","ENSMUSG00000060548","Tnfrsf19","TAJ|TAJ-ALPHA|TRADE|Troy","tumor necrosis factor receptor superfamily, member 19","protein-coding",5,2.253807,5,5,5,2.110794,"Promoter",NA,"Tnfrsf19"
"chr14:61172500-61174199","chr14",61172500,61174199,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,7,0,7,61173294,0,11.552952,0,"exon ","exon (NM_015788, exon 3 of 10)",34892,"NM_015788",50720,NA,"NM_015788","ENSMUSG00000048279","Sacs","A230052M14|DNAJC29|E130115J16Rik","sacsin","protein-coding",3.009166,1.643121,1.632098,2.465654,1.47349,1.329423,"Promoter",NA,"Sacs"
"chr14:61438100-61440460","chr14",61438100,61440460,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,29,1,29,61439677,0,23.214558,0,"intron ","intron (NM_008466, intron 1 of 16)",667,"NM_008466",16648,NA,"NM_008466","ENSMUSG00000021929","Kpna3","IPOA4","karyopherin subunit alpha 3","protein-coding",5,1.849604,5,5,4.793479,1.571475,"Promoter",NA,"Kpna3"
"chr14:61555578-61557949","chr14",61555578,61557949,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,31,1,31,61556838,0,22.38808,0,"5' UTR ","5' UTR (NM_001310603, exon 1 of 4)",123,"NM_025697",66674,NA,"NM_025697","ENSMUSG00000021930","Spryd7","6330409N04Rik|Clld6","SPRY domain containing 7","protein-coding",5,1.625579,5,5,4.339066,1.423435,"Promoter",NA,"Spryd7"
"chr14:61599000-61602049","chr14",61599000,61602049,".","MACS2|HOMER|Genrich|SEACR|SICER2",5,13,0,13,61600399,0,17.677714,0,"intron ","intron (NM_023233, intron 2 of 2)",1012,"NM_023233",66597,NA,"NM_023233","ENSMUSG00000035235","Trim13","3110001L12Rik|CAR|LEU5|RNF77|Rfp2","tripartite motif-containing 13","protein-coding",4.671067,0.090493,3.735445,4.557537,3.108685,1.514487,"Promoter",NA,"Trim13"
"chr14:61644300-61650999","chr14",61644300,61650999,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,43,0,43,61647848,0,24.234974,0,"intron ","intron (NR_028264, intron 1 of 6)",-15539,"NR_029733",387174,NA,"NR_029733","ENSMUSG00000093007","Mir15a","Mirn15a|mir-15a|mmu-mir-15a","microRNA 15a","ncRNA",5,2.078457,5,5,5,2.156517,"Promoter",NA,"Dleu2"
"chr14:61679500-61683899","chr14",61679500,61683899,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,100,0,100,61681969,0,23.731589,0,"intron ","CpG",674,"NR_028264",668253,NA,"NR_028264","ENSMUSG00000097589","Dleu2","1810047A16Rik|4932411A06Rik|7730401J12Rik|Alt1|Gm9069|Leu2","deleted in lymphocytic leukemia, 2","ncRNA",5,2.007888,5,5,5,1.723701,"Promoter",NA,"Dleu2"
"chr14:62331975-62332783","chr14",62331975,62332783,".","MACS2|GEM|HOMER|Genrich|SICER2",5,12,2,6,62332362,0,6.321165,4.8e-07,"intron ","CpG",311,"NM_026001",67153,NA,"NM_026001","ENSMUSG00000021932","Rnaseh2b","1110019N06Rik|2610207P08Rik|Dleu8","ribonuclease H2, subunit B","protein-coding",1.870478,0.86076,0.831634,1.377464,0.195916,1.184913,"Promoter",NA,"Rnaseh2b"
"chr14:62554900-62557789","chr14",62554900,62557789,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,32,0,32,62556259,0,23.336773,0,"intron ","intron (NM_001243857, intron 1 of 3)",607,"NM_001243857",629059,NA,"NM_001243857","ENSMUSG00000035184","Fam124a","EG629059","family with sequence similarity 124, member A","protein-coding",5,2.006758,5,5,4.751997,1.578018,"Promoter",NA,"Fam124a"
"chr14:62758237-62762660","chr14",62758237,62762660,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,80,2,40,62760589,0,23.938989,0,"promoter-TSS ","promoter-TSS (NR_045503)",-53,"NR_045503",71000,NA,"NR_045503","","4931440J10Rik","-","RIKEN cDNA 4931440J10 gene","ncRNA",5,2.209805,5,5,5,1.729184,"Promoter",NA,"Ints6"
"chr14:62836930-62840418","chr14",62836930,62840418,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,56,1,56,62838082,0,23.49846,0,"promoter-TSS ","promoter-TSS (NR_168886)",-143,"NR_168886",102639417,NA,"NR_168886","","Gm26536","-","predicted gene, 26536","ncRNA",5,1.923562,5,5,5,1.574898,"Promoter",NA,"Wdfy2"
"chr14:63122050-63124699","chr14",63122050,63124699,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,35,0,35,63122800,0,23.194479,0,"intron ","intron (NM_007798, intron 1 of 9)",912,"NM_007798",13030,NA,"NM_007798","ENSMUSG00000021939","Ctsb","CB","cathepsin B","protein-coding",5,1.916909,5,5,4.684033,1.593537,"Promoter",NA,"Ctsb"
"chr14:63173650-63179149","chr14",63173650,63179149,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,56,0,56,63177029,0,24.379199,0,"intron ","intron (NM_001360211, intron 1 of 7)",1488,"NM_001360211",14137,NA,"NM_010191","ENSMUSG00000021273","Fdft1","SQS|SS","farnesyl diphosphate farnesyl transferase 1","protein-coding",5,2.498029,5,5,5,1.88117,"Promoter",NA,"Fdft1"
"chr14:63542850-63544749","chr14",63542850,63544749,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,29,1,29,63543903,0,21.176524,0,"5' UTR ","5' UTR (NM_177594, exon 1 of 10)",154,"NM_177594",210376,NA,"NM_177594","ENSMUSG00000035078","Mtmr9","9430075G12Rik|LIP-STYX|MTMR8|mMTMH3","myotubularin related protein 9","protein-coding",5,1.870791,4.489506,4.648524,3.709728,1.457975,"Promoter",NA,"Mtmr9"
"chr14:63605816-63608399","chr14",63605816,63608399,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,8,0,8,63606626,0,12.354531,0,"promoter-TSS ","promoter-TSS (NR_167938)",-351,"NR_167938",105245780,NA,"NR_167937","","Gm15918","-","predicted gene 15918","ncRNA",2.605073,1.477801,2.41541,2.736658,1.746491,1.373098,"Promoter",NA,"Xkr6"
"chr14:63859384-63861199","chr14",63859384,63861199,".","MACS2|GEM|HOMER|Genrich|SICER2",5,18,0,18,63860350,0,12.825695,0,"promoter-TSS ","promoter-TSS (NM_028228)",-21,"NM_028228",72400,NA,"NM_028228","ENSMUSG00000021958","Pinx1","2210403I16Rik|2610028A01Rik|67-11-3|LPTS|LPTS1","PIN2/TERF1 interacting, telomerase inhibitor 1","protein-coding",3.248183,1.564012,3.299028,3.326541,0.071298,1.316633,"Promoter",NA,"Pinx1"
"chr14:63942996-63946226","chr14",63942996,63946226,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,25,0,25,63944305,0,22.554915,0,"intron ","intron (NM_011446, intron 1 of 1)",905,"NM_011446",20680,NA,"NM_011446","ENSMUSG00000063060","Sox7","-","SRY (sex determining region Y)-box 7","protein-coding",5,1.786069,4.849546,5,4.390031,1.529269,"Promoter",NA,"Sox7"
"chr14:64440080-64441520","chr14",64440080,64441520,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,23,0,23,64440843,0,19.124885,0,"exon ","exon (NM_001253714, exon 1 of 5)",226,"NM_001253715",110265,NA,"NM_026322","ENSMUSG00000054733","Msra","2310045J23Rik|6530413P12Rik|MSR-A","methionine sulfoxide reductase A","protein-coding",4.480306,1.747381,4.127672,4.064694,3.315321,1.389511,"Promoter",NA,"Msra"
"chr14:64651900-64655199","chr14",64651900,64655199,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,17,0,17,64653162,0,21.155392,0,"intron ","intron (NM_001081177, intron 1 of 39)",1008,"NM_001081177",16554,NA,"NM_001081177","ENSMUSG00000060012","Kif13b","5330429L19Rik|6030414C01|C130021D12Rik|GAKIN","kinesin family member 13B","protein-coding",4.937775,1.74617,4.324393,4.874887,3.609147,1.66302,"Promoter",NA,"Kif13b"
"chr14:64947318-64951110","chr14",64947318,64951110,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,92,0,92,64949657,0,23.425904,0,"promoter-TSS ","promoter-TSS (NM_001253731)",643,"NM_001347626",219150,NA,"NM_177338","ENSMUSG00000021972","Hmbox1","F830020C16Rik","homeobox containing 1","protein-coding",5,1.861121,5,5,5,1.564783,"Promoter",NA,"Hmbox1"
"chr14:65096500-65098580","chr14",65096500,65098580,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,40,0,40,65097689,0,23.483704,0,"intron ","intron (NM_018788, intron 1 of 6)",566,"NM_018788",54616,NA,"NM_018788","ENSMUSG00000021978","Extl3","2900009G18Rik|Ext1l|mKIAA0519","exostosin-like glycosyltransferase 3","protein-coding",5,1.931934,5,5,4.963502,1.588268,"Promoter",NA,"Extl3"
"chr14:65148300-65150599","chr14",65148300,65150599,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,21,0,21,65149667,0,20.649253,0,"Intergenic","Intergenic",-22868,"NR_166862",105245784,NA,"NR_166862","ENSMUSG00000114693","Gm41177","-","predicted gene, 41177","ncRNA",4.284246,1.704414,4.620398,4.75278,3.866541,1.420874,"Promoter",NA,"Extl3"
"chr14:65259897-65262871","chr14",65259897,65262871,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,14,0,14,65261939,0,21.108458,0,"intron ","intron (NM_021458, intron 1 of 6)",1079,"NM_021458",14365,NA,"NM_021458","ENSMUSG00000007989","Fzd3","D930050A07Rik|Fz3|fz-3|mFz3","frizzled class receptor 3","protein-coding",5,1.911694,4.157419,4.716003,3.277471,2.045871,"Promoter",NA,"Fzd3"
"chr14:65343227-65344756","chr14",65343227,65344756,".","MACS2|GEM|HOMER|Genrich|SICER2",5,14,3,4.67,65343766,0,3.341985,0.000455,"Intergenic","CpG",-14685,"NM_199029",380912,NA,"NM_199029","ENSMUSG00000034522","Zfp395","Gm910","zinc finger protein 395","protein-coding",0.773719,0.475031,0.372674,0.625413,0.03248,1.062668,"Distal Intergenic",NA,"Zfp395"
"chr14:65356800-65361499","chr14",65356800,65361499,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,33,3,11,65358733,0,19.018558,0,"intron ","CpG",473,"NM_199029",380912,NA,"NM_199029","ENSMUSG00000034522","Zfp395","Gm910","zinc finger protein 395","protein-coding",4.425911,1.89508,3.605309,4.628809,2.963759,1.49969,"Promoter",NA,"Zfp395"
"chr14:65836900-65838658","chr14",65836900,65838658,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,29,0,29,65837573,0,23.16949,0,"intron ","CpG",477,"NM_145944",67179,NA,"NM_145944","ENSMUSG00000022035","Ccdc25","2610528H13Rik|NSrp70","coiled-coil domain containing 25","protein-coding",5,2.404507,4.666542,5,4.021316,2.077125,"Promoter",NA,"Ccdc25"
"chr14:65885750-65888349","chr14",65885750,65888349,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,21,0,21,65886938,0,19.778214,0,"Intergenic","Intergenic",49747,"NM_145944",67179,NA,"NM_145944","ENSMUSG00000022035","Ccdc25","2610528H13Rik|NSrp70","coiled-coil domain containing 25","protein-coding",4.609671,1.628964,4.330093,4.484086,3.272664,1.452736,"Distal Intergenic",NA,"Ccdc25"
"chr14:65889366-65891299","chr14",65889366,65891299,".","MACS2|GEM|HOMER|Genrich|SICER2",5,10,1,10,65890135,0,10.469213,0,"Intergenic","Intergenic",53030,"NM_145944",67179,NA,"NM_145944","ENSMUSG00000022035","Ccdc25","2610528H13Rik|NSrp70","coiled-coil domain containing 25","protein-coding",2.622745,1.231221,2.784055,2.668021,0.065112,1.098059,"Distal Intergenic",NA,"Ccdc25"
"chr14:65950090-65954860","chr14",65950090,65954860,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,56,0,56,65953062,0,24.591622,0,"intron ","MER45A|DNA|hAT-Tip100",1269,"NM_172604",219151,NA,"NM_172604","ENSMUSG00000034463","Scara3","APC7|C130058N24Rik|CSR|CSR1|MSLR1|MSRL1","scavenger receptor class A, member 3","protein-coding",5,2.500096,5,5,5,2.091526,"Promoter",NA,"Scara3"
"chr14:65967606-65972492","chr14",65967606,65972492,".","MACS2|HOMER|Genrich|SEACR|SICER2",5,33,0,33,65969936,0,22.064335,0,"intron ","intron (NM_013492, intron 1 of 8)",1566,"NM_013492",12759,NA,"NM_013492","ENSMUSG00000022037","Clu","ApoJ|Cli|D14Ucla3|SP-40|Sgp-2|Sgp2|Sugp-2","clusterin","protein-coding",5,0.218781,5,5,5,1.845554,"Promoter",NA,"Clu"
"chr14:66123500-66125040","chr14",66123500,66125040,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,13,0,13,66124336,0,16.665422,0,"5' UTR ","5' UTR (NM_001271402, exon 1 of 19)",252,"NM_001271402",13850,NA,"NM_007940","ENSMUSG00000022040","Ephx2","CEH|Eph2|SEH|sEP","epoxide hydrolase 2, cytoplasmic","protein-coding",3.728588,1.623439,3.659776,3.563525,2.784642,1.305452,"Promoter",NA,"Ephx2"
"chr14:66295650-66299409","chr14",66295650,66299409,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,23,1,23,66297578,0,23.447221,0,"promoter-TSS ","promoter-TSS (NR_038077)",-400,"NR_038077",69303,NA,"NR_038077","ENSMUSG00000085984","1700001G11Rik","-","RIKEN cDNA 1700001G11 gene","ncRNA",5,2.358136,5,5,4.485113,1.603972,"Promoter",NA,"1700001G11Rik"
"chr14:66343745-66348459","chr14",66343745,66348459,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,16,0,16,66345392,0,21.101545,0,"intron ","intron (NM_001310522, intron 1 of 6)",1806,"NM_001310523",56471,NA,"NM_019675","ENSMUSG00000022044","Stmn4","Lagl|RB3","stathmin-like 4","protein-coding",4.206644,2.261942,4.356071,5,3.764652,1.512236,"Promoter",NA,"Stmn4"
"chr14:66634550-66638820","chr14",66634550,66638820,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,47,0,47,66635960,0,23.820325,0,"intron ","(T)n|Simple_repeat|Simple_repeat",1434,"NM_001271759",11549,NA,"NM_013461","ENSMUSG00000045875","Adra1a","Adra1c","adrenergic receptor, alpha 1a","protein-coding",5,2.08119,5,5,5,1.739135,"Promoter",NA,"Adra1a"
